cprs_id,platform,platform_id,name,url,contest_id,difficulty_raw,difficulty_normalized,tags_original_str,tags_unified_str,solve_count,acceptance_rate,is_premium
cf:2240B,codeforces,2240B,AI Finds Nothing Here,https://codeforces.com/problemset/problem/2240/B,2240,,,combinatorics,combinatorics,8128.0,,False
cf:2240A,codeforces,2240A,Another Popcount Problem,https://codeforces.com/problemset/problem/2240/A,2240,,,greedy,greedy,12145.0,,False
cf:2239F,codeforces,2239F,Colorful Works,https://codeforces.com/problemset/problem/2239/F,2239,,,dp|fft|games|implementation,dynamic_programming|fft|game_theory|implementation,25.0,,False
cf:2239E,codeforces,2239E,"The end of this world,",https://codeforces.com/problemset/problem/2239/E,2239,,,divide and conquer|dsu,divide_and_conquer|other:dsu,41.0,,False
cf:2239D,codeforces,2239D,Hunting the Beast,https://codeforces.com/problemset/problem/2239/D,2239,,,combinatorics|dp|graphs|math,combinatorics|dynamic_programming|graphs|math,307.0,,False
cf:2239C,codeforces,2239C,Revival,https://codeforces.com/problemset/problem/2239/C,2239,,,binary search|constructive algorithms|data structures|math|two pointers,binary_search|constructive|data_structures|math|two_pointers,723.0,,False
cf:2239B,codeforces,2239B,Decidophobia,https://codeforces.com/problemset/problem/2239/B,2239,,,greedy|sortings|two pointers,greedy|sorting|two_pointers,4488.0,,False
cf:2239A,codeforces,2239A,Nim Game Is XOR Game,https://codeforces.com/problemset/problem/2239/A,2239,,,bitmasks|constructive algorithms|games|greedy|math,bitmask|constructive|game_theory|greedy|math,6263.0,,False
cf:2237I2,codeforces,2237I2,DBFS Order (Hard Version),https://codeforces.com/problemset/problem/2237/I2,2237,3500.0,1.0,dp|trees,dynamic_programming|trees,66.0,,False
cf:2237I1,codeforces,2237I1,DBFS Order (Easy Version),https://codeforces.com/problemset/problem/2237/I1,2237,3500.0,1.0,dp|trees,dynamic_programming|trees,40.0,,False
cf:2237H,codeforces,2237H,Slime and Queries,https://codeforces.com/problemset/problem/2237/H,2237,3500.0,1.0,data structures|greedy|trees,data_structures|greedy|trees,88.0,,False
cf:2237G,codeforces,2237G,Send GCDs,https://codeforces.com/problemset/problem/2237/G,2237,2900.0,0.7777777777777778,communication|constructive algorithms|interactive|math|number theory,constructive|math|number_theory|other:communication|other:interactive,336.0,,False
cf:2237F,codeforces,2237F,Paint the Array,https://codeforces.com/problemset/problem/2237/F,2237,2400.0,0.5925925925925926,data structures|dp|greedy,data_structures|dynamic_programming|greedy,720.0,,False
cf:2237E,codeforces,2237E,Permutation Commutation,https://codeforces.com/problemset/problem/2237/E,2237,2000.0,0.4444444444444444,data structures|graphs|greedy,data_structures|graphs|greedy,1726.0,,False
cf:2237D,codeforces,2237D,Fullmetal Bitchemist,https://codeforces.com/problemset/problem/2237/D,2237,1500.0,0.25925925925925924,constructive algorithms|greedy|math,constructive|greedy|math,5437.0,,False
cf:2237C,codeforces,2237C,Duck Surplus,https://codeforces.com/problemset/problem/2237/C,2237,1000.0,0.07407407407407407,binary search|greedy,binary_search|greedy,13415.0,,False
cf:2237B,codeforces,2237B,Annoying the Ghost,https://codeforces.com/problemset/problem/2237/B,2237,1000.0,0.07407407407407407,brute force|greedy,brute_force|greedy,13226.0,,False
cf:2237A,codeforces,2237A,Destroying Towers,https://codeforces.com/problemset/problem/2237/A,2237,800.0,0.0,games|greedy|schedules,game_theory|greedy|other:schedules,19110.0,,False
cf:2236G,codeforces,2236G,Criterion in Burlandia,https://codeforces.com/problemset/problem/2236/G,2236,2600.0,0.6666666666666666,binary search|bitmasks|brute force|data structures|dfs and similar|divide and conquer|implementation|trees|two pointers,binary_search|bitmask|brute_force|data_structures|dfs|divide_and_conquer|implementation|trees|two_pointers,309.0,,False
cf:2236F2,codeforces,2236F2,Elections in Saransk (hard version),https://codeforces.com/problemset/problem/2236/F2,2236,2200.0,0.5185185185185185,combinatorics|dp|math|number theory,combinatorics|dynamic_programming|math|number_theory,803.0,,False
cf:2236F1,codeforces,2236F1,Elections in Saransk (easy version),https://codeforces.com/problemset/problem/2236/F1,2236,1700.0,0.3333333333333333,number theory,number_theory,4203.0,,False
cf:2236E,codeforces,2236E,Friendly Gifts,https://codeforces.com/problemset/problem/2236/E,2236,1700.0,0.3333333333333333,brute force|dp,brute_force|dynamic_programming,5490.0,,False
cf:2236D,codeforces,2236D,Brand New Tatar TV Show,https://codeforces.com/problemset/problem/2236/D,2236,1300.0,0.18518518518518517,binary search|constructive algorithms|dp|games|math,binary_search|constructive|dynamic_programming|game_theory|math,11202.0,,False
cf:2236C,codeforces,2236C,Omsk Programmers,https://codeforces.com/problemset/problem/2236/C,2236,1000.0,0.07407407407407407,brute force|greedy|math,brute_force|greedy|math,18940.0,,False
cf:2236B,codeforces,2236B,Tatar TV Show,https://codeforces.com/problemset/problem/2236/B,2236,800.0,0.0,greedy|math|strings,greedy|math|strings,25596.0,,False
cf:2236A,codeforces,2236A,Games on the Train,https://codeforces.com/problemset/problem/2236/A,2236,800.0,0.0,greedy|math,greedy|math,30675.0,,False
cf:2234G,codeforces,2234G,"Stripe, Token and Two Players",https://codeforces.com/problemset/problem/2234/G,2234,2700.0,0.7037037037037037,data structures|dp|games,data_structures|dynamic_programming|game_theory,301.0,,False
cf:2234F,codeforces,2234F,"Vessels, Heights and Two Versions (Hard Version)",https://codeforces.com/problemset/problem/2234/F,2234,1900.0,0.4074074074074074,data structures|dfs and similar|dsu|greedy|implementation|two pointers,data_structures|dfs|greedy|implementation|other:dsu|two_pointers,2069.0,,False
cf:2234E,codeforces,2234E,"Vlad, Misha and Two Arrays",https://codeforces.com/problemset/problem/2234/E,2234,2100.0,0.48148148148148145,brute force|combinatorics|dfs and similar|divide and conquer|math,brute_force|combinatorics|dfs|divide_and_conquer|math,1703.0,,False
cf:2234D,codeforces,2234D,"XOR, Expression and Two Binary Numbers",https://codeforces.com/problemset/problem/2234/D,2234,1500.0,0.25925925925925924,bitmasks|divide and conquer|dp|math|number theory,bitmask|divide_and_conquer|dynamic_programming|math|number_theory,8041.0,,False
cf:2234C,codeforces,2234C,"Vessels, Heights and Two Versions (Easy Version)",https://codeforces.com/problemset/problem/2234/C,2234,1200.0,0.14814814814814814,dfs and similar|dsu|greedy|implementation|two pointers,dfs|greedy|implementation|other:dsu|two_pointers,11272.0,,False
cf:2234B,codeforces,2234B,"Palindrome, Twelve and Two Terms",https://codeforces.com/problemset/problem/2234/B,2234,800.0,0.0,brute force|constructive algorithms|math,brute_force|constructive|math,20461.0,,False
cf:2234A,codeforces,2234A,"Euclid, Sequence and Two Numbers",https://codeforces.com/problemset/problem/2234/A,2234,800.0,0.0,math|number theory|sortings,math|number_theory|sorting,22560.0,,False
cf:2233F,codeforces,2233F,Shortest GCD Paths,https://codeforces.com/problemset/problem/2233/F,2233,2800.0,0.7407407407407407,dp|graphs|math|number theory|shortest paths,dynamic_programming|graphs|math|number_theory|shortest_paths,318.0,,False
cf:2233E2,codeforces,2233E2,Permutation Transmission (Difficult Version),https://codeforces.com/problemset/problem/2233/E2,2233,2300.0,0.5555555555555556,bitmasks|combinatorics|sortings,bitmask|combinatorics|sorting,982.0,,False
cf:2233E1,codeforces,2233E1,Permutation Transmission (Easy Version),https://codeforces.com/problemset/problem/2233/E1,2233,2200.0,0.5185185185185185,bitmasks|combinatorics|sortings,bitmask|combinatorics|sorting,1018.0,,False
cf:2233D,codeforces,2233D,Goods on the Shelf,https://codeforces.com/problemset/problem/2233/D,2233,1900.0,0.4074074074074074,brute force|data structures|implementation|two pointers,brute_force|data_structures|implementation|two_pointers,3022.0,,False
cf:2233C,codeforces,2233C,Cost of a Bracket Sequence,https://codeforces.com/problemset/problem/2233/C,2233,1400.0,0.2222222222222222,brute force|dp|greedy,brute_force|dynamic_programming|greedy,8423.0,,False
cf:2233B,codeforces,2233B,Different Distances,https://codeforces.com/problemset/problem/2233/B,2233,900.0,0.037037037037037035,constructive algorithms,constructive,16320.0,,False
cf:2233A,codeforces,2233A,AI Project Development,https://codeforces.com/problemset/problem/2233/A,2233,800.0,0.0,brute force|math,brute_force|math,20659.0,,False
cf:2232F,codeforces,2232F,The Cake Is a Lie,https://codeforces.com/problemset/problem/2232/F,2232,3000.0,0.8148148148148148,greedy|math|number theory,greedy|math|number_theory,267.0,,False
cf:2232E,codeforces,2232E,Snaking Arrangement,https://codeforces.com/problemset/problem/2232/E,2232,2600.0,0.6666666666666666,combinatorics|constructive algorithms,combinatorics|constructive,537.0,,False
cf:2232D,codeforces,2232D,Magical Tiered Cake,https://codeforces.com/problemset/problem/2232/D,2232,2000.0,0.4444444444444444,constructive algorithms|dfs and similar|dp|greedy,constructive|dfs|dynamic_programming|greedy,2498.0,,False
cf:2232C2,codeforces,2232C2,Seating Arrangement (Hard Version),https://codeforces.com/problemset/problem/2232/C2,2232,1500.0,0.25925925925925924,binary search|greedy|math|two pointers,binary_search|greedy|math|two_pointers,8042.0,,False
cf:2232C1,codeforces,2232C1,Seating Arrangement (Easy Version),https://codeforces.com/problemset/problem/2232/C1,2232,1300.0,0.18518518518518517,binary search|dp|greedy|two pointers,binary_search|dynamic_programming|greedy|two_pointers,11292.0,,False
cf:2232B,codeforces,2232B,Cake Leveling,https://codeforces.com/problemset/problem/2232/B,2232,900.0,0.037037037037037035,binary search|greedy|math,binary_search|greedy|math,19409.0,,False
cf:2232A,codeforces,2232A,Convergence,https://codeforces.com/problemset/problem/2232/A,2232,800.0,0.0,greedy|sortings,greedy|sorting,22050.0,,False
cf:2231F,codeforces,2231F,Quadratic Jumps,https://codeforces.com/problemset/problem/2231/F,2231,2600.0,0.6666666666666666,brute force|constructive algorithms|greedy|math|number theory,brute_force|constructive|greedy|math|number_theory,730.0,,False
cf:2231E,codeforces,2231E,Graph Cutting,https://codeforces.com/problemset/problem/2231/E,2231,2300.0,0.5555555555555556,dfs and similar|dp|math|trees,dfs|dynamic_programming|math|trees,1043.0,,False
cf:2231D,codeforces,2231D,Maximum Prefix Sums,https://codeforces.com/problemset/problem/2231/D,2231,1900.0,0.4074074074074074,constructive algorithms|greedy|implementation|two pointers,constructive|greedy|implementation|two_pointers,3472.0,,False
cf:2231C,codeforces,2231C,Chipmunk Theo and Equality,https://codeforces.com/problemset/problem/2231/C,2231,1400.0,0.2222222222222222,implementation|sortings,implementation|sorting,11093.0,,False
cf:2231B,codeforces,2231B,Another Sorting Problem,https://codeforces.com/problemset/problem/2231/B,2231,1100.0,0.1111111111111111,constructive algorithms,constructive,16976.0,,False
cf:2231A,codeforces,2231A,Construct an Array,https://codeforces.com/problemset/problem/2231/A,2231,800.0,0.0,constructive algorithms,constructive,23919.0,,False
cf:2230F,codeforces,2230F,Game on Growing Tree,https://codeforces.com/problemset/problem/2230/F,2230,2700.0,0.7037037037037037,binary search|dfs and similar|divide and conquer|dp|games|implementation|trees,binary_search|dfs|divide_and_conquer|dynamic_programming|game_theory|implementation|trees,469.0,,False
cf:2230E,codeforces,2230E,Minimum Influence,https://codeforces.com/problemset/problem/2230/E,2230,2100.0,0.48148148148148145,binary search|data structures|greedy|implementation|math|sortings|two pointers,binary_search|data_structures|greedy|implementation|math|sorting|two_pointers,1361.0,,False
cf:2230D,codeforces,2230D,Good Schedule,https://codeforces.com/problemset/problem/2230/D,2230,1700.0,0.3333333333333333,dp|greedy,dynamic_programming|greedy,4782.0,,False
cf:2230C,codeforces,2230C,Arrange the Numbers in a Circle,https://codeforces.com/problemset/problem/2230/C,2230,1300.0,0.18518518518518517,constructive algorithms|implementation|math,constructive|implementation|math,10747.0,,False
cf:2230B,codeforces,2230B,Digit String,https://codeforces.com/problemset/problem/2230/B,2230,1000.0,0.07407407407407407,greedy|implementation|math,greedy|implementation|math,16019.0,,False
cf:2230A,codeforces,2230A,Optimal Purchase,https://codeforces.com/problemset/problem/2230/A,2230,800.0,0.0,implementation|math,implementation|math,21778.0,,False
cf:2229I,codeforces,2229I,The Endians,https://codeforces.com/problemset/problem/2229/I,2229,3400.0,0.9629629629629629,dp|trees,dynamic_programming|trees,199.0,,False
cf:2229H,codeforces,2229H,Wowee Binary String,https://codeforces.com/problemset/problem/2229/H,2229,3200.0,0.8888888888888888,combinatorics|dp|strings,combinatorics|dynamic_programming|strings,188.0,,False
cf:2229G,codeforces,2229G,Roadworks,https://codeforces.com/problemset/problem/2229/G,2229,2900.0,0.7777777777777778,binary search|data structures|dp|greedy|two pointers,binary_search|data_structures|dynamic_programming|greedy|two_pointers,323.0,,False
cf:2229F,codeforces,2229F,Load Unbalancing,https://codeforces.com/problemset/problem/2229/F,2229,2400.0,0.5925925925925926,binary search|bitmasks|dp|greedy,binary_search|bitmask|dynamic_programming|greedy,1023.0,,False
cf:2229E,codeforces,2229E,Deconstruction Tree,https://codeforces.com/problemset/problem/2229/E,2229,2100.0,0.48148148148148145,combinatorics|data structures|dp|graphs|trees,combinatorics|data_structures|dynamic_programming|graphs|trees,1866.0,,False
cf:2229D,codeforces,2229D,Me When Median Problem,https://codeforces.com/problemset/problem/2229/D,2229,1700.0,0.3333333333333333,binary search|greedy,binary_search|greedy,5000.0,,False
cf:2229C2,codeforces,2229C2,We Be Flipping (Hard Version),https://codeforces.com/problemset/problem/2229/C2,2229,1400.0,0.2222222222222222,constructive algorithms|dp|greedy,constructive|dynamic_programming|greedy,8265.0,,False
cf:2229C1,codeforces,2229C1,We Be Flipping (Easy Version),https://codeforces.com/problemset/problem/2229/C1,2229,900.0,0.037037037037037035,constructive algorithms|greedy,constructive|greedy,15003.0,,False
cf:2229B,codeforces,2229B,Absolute Cinema,https://codeforces.com/problemset/problem/2229/B,2229,800.0,0.0,greedy|math,greedy|math,17388.0,,False
